DQ666287,2004,Guangxi
DQ666291,2004,Guizhou
DQ666296,2004,Guizhou
DQ666297,2004,Henan
DQ666298,2004,Henan
DQ666299,2004,Henan
DQ666306,2004,Henan
DQ666307,2004,Hunan
DQ666308,2004,Hunan
DQ666309,2004,Hunan
DQ666316,2004,Hunan
DQ666317,2004,Hunan
DQ666318,2004,Hunan
DQ666319,2004,Hunan
DQ666321,2004,Jiangsu
DQ866107,2003,Guangxi
DQ866113,2003,Guangxi
DQ866115,2003,Guangxi
DQ866117,2004,Guangxi
DQ866118,2005,Guangxi
EF611081,2004,Hubei
EU008919,2005,Hunan
EU008923,2005,Hunan
EU095330,2006,Yunnan
EU275244,2007,Yunnan
EU275245,2007,Yunnan
EU700031,2007,Beijing
EU700032,2008,Zhejiang
FJ712193,2008,Zhejiang
FJ712194,2008,Zhejiang
FJ719760,2008,Zhejiang
FJ866827,2008,Fujian
FJ866836,2008,Fujian
GQ472469,2007,Guangxi
GQ472471,2007,Guangxi
GQ472472,2007,Guangxi
GQ472474,2007,Guangxi
GQ472475,2005,Guangxi
GQ472476,2006,Guangxi
GQ472478,2007,Guangxi
GU345748,2006,Shanghai
GU591792,2009,Sichuan
GU994209,2009,Zhejiang
HM486349,2006,Jiangsu
HM486350,2006,Jiangsu
HM486351,2006,Jiangsu
HM486352,2006,Jiangsu
HM486353,2005,Jiangsu
HM486354,2006,Jiangsu
HM486360,2005,Anhui
HM486363,2006,Jiangsu
HM486376,2008,Shandong
HM486377,2008,Shandong
HM486378,2007,Shandong
HQ118101,1989,Anhui
HQ118102,2006,Guizhou
HQ118103,2008,Zhejiang
HQ118104,1989,Anhui
HQ118106,2008,Zhejiang
HQ118107,2008,Zhejiang
HQ118108,2008,Zhejiang
HQ118109,2008,Zhejiang
HQ695732,2009,Shaanxi
JN974826,2006,Guangxi
JN974827,2006,Guangxi
JN974830,2005,Guizhou
JN974832,2009,Guizhou
JN974833,2010,Guizhou
JN974834,2010,Guizhou
JN974835,2010,Hebei
JN974836,2005,Hunan
JN974837,2005,Hunan
JN974839,2005,Hunan
JN974840,2006,Hunan
JN974844,2007,Hunan
JN974846,2008,Hunan
JN974848,2009,Hunan
JN974849,2008,Jiangsu
JN974850,2008,Jiangsu
JN974851,2008,Jiangsu
JN974852,2008,Jiangsu
JN974853,2009,Jiangxi
JN974855,2009,Jiangxi
JN974856,2008,Sichuan
JN974857,2008,Sichuan
JN974858,2009,Sichuan
JN974860,2009,Sichuan
JN974861,2010,Sichuan
JN974862,2010,Sichuan
JN974863,2010,Sichuan
JN974864,2008,Shandong
JN974865,2008,Shandong
JN974866,2009,Shandong
JN974867,2009,Shandong
JN974868,2009,Shandong
JN974869,2009,Shandong
JN974874,2005,Shanghai
JN974875,2005,Shanghai
JN974876,2009,Shanxi
JN974878,2008,Zhejiang
JQ423952,2011,Beijing
JQ794538,2011,Yunnan
JQ798945,2011,Anhui
JQ798946,2011,Anhui
JQ798954,2011,Anhui
JQ798955,2011,Anhui
JQ798956,2011,Anhui
JQ798960,2011,Anhui
JX005929,2008,Sichuan
JX005930,2010,Sichuan
JX005934,2008,Sichuan
JX005935,2009,Sichuan
JX005936,2010,Sichuan
JX005938,2008,Sichuan
JX005941,2009,Sichuan
JX005942,2009,Sichuan
JX005943,2010,Sichuan
JX005944,2009,Sichuan
JX005945,2010,Sichuan
JX005947,2010,Sichuan
JX123686,2010,Zhejiang
JX123687,2010,Zhejiang
JX123688,2009,Zhejiang
KC169986,2009,Guangxi
KC660078,2012,Beijing
KC762941,2009,Jiangxi
KF663511,2011,Shaanxi
KF663513,2011,Shaanxi
KF663514,2011,Shaanxi
KF663516,2011,Shaanxi
KF663518,2011,Shaanxi
KF663520,2011,Shaanxi
KF663521,2012,Shaanxi
KF663522,2012,Shaanxi
KF663523,2009,Zhejiang
KF663524,2010,Zhejiang
KF663525,2009,Zhejiang
KF663527,2012,Shaanxi
KF663528,2012,Shaanxi
KF663529,2012,Shaanxi
KF663530,2012,Shaanxi
